feature,pearson_correlation,abs_pearson_correlation,missing_rate_before_fill
#4发电机有功功率362,0.9999330970975059,0.9999330970975059,0.02642559109874826
#4发电机有功功率2_364,0.999329040240192,0.999329040240192,0.0
#4发电机有功功率3_365,0.998874802282191,0.998874802282191,0.0
#4发电机有功功率1_363,0.9980369058861722,0.9980369058861722,0.0
机组负荷指令_367,0.98970150416253,0.98970150416253,0.16550764951321278
主蒸汽流量264,0.9866449009569598,0.9866449009569598,0.0013908205841446453
主蒸汽流量259,0.9863734615494356,0.9863734615494356,0.02642559109874826
主蒸汽流量263,0.9858958066121696,0.9858958066121696,0.02642559109874826
风量比值176,0.9818831214390883,0.9818831214390883,0.011126564673157162
总风量198,0.9818774901896583,0.9818774901896583,0.011126564673157162
风量指令信号148,0.9799629312706983,0.9799629312706983,0.0013908205841446453
给泵汽机A主蒸汽压力251,0.9773462173817038,0.9773462173817038,0.09596662030598054
B侧二次风量2_158,0.9757725592840327,0.9757725592840327,0.008344923504867872
总二次风量200,0.9754257476134133,0.9754257476134133,0.012517385257301807
#4机组B侧二次风量163,0.9752668816244104,0.9752668816244104,0.012517385257301807
B侧二次风量1_157,0.9751958577010551,0.9751958577010551,0.0
A侧二次风量2_142,0.9747996681293528,0.9747996681293528,0.0
末级再热器出口B压力310,0.9685213564604995,0.9685213564604995,0.07927677329624479
墙式再热器前墙进口集箱A压力307,0.9679219690937785,0.9679219690937785,0.06954102920723226
墙式再热器前墙进口集箱B压力308,0.9678777355099178,0.9678777355099178,0.07093184979137691
末级再热器出口A压力309,0.9675494438229304,0.9675494438229304,0.08205841446453407
给泵汽机B主蒸汽压力252,0.9672800005882315,0.9672800005882315,0.10013908205841446
汽包压力2235,0.966227224543794,0.966227224543794,0.03477051460361613
汽包压力3236,0.9661034288968673,0.9661034288968673,0.03337969401947149
汽包压力均值234,0.9659720516552457,0.9659720516552457,0.03337969401947149
汽包压力1_233,0.965948250065595,0.965948250065595,0.03337969401947149
总一次风量199,0.9659380886193235,0.9659380886193235,0.0
汽包压力237,0.9654826321159854,0.9654826321159854,0.030598052851182198
B侧二次风量3_159,0.9625419965875238,0.9625419965875238,0.025034770514603615
#4机组A侧二次风量147,0.9614922700076266,0.9614922700076266,0.030598052851182198
A侧二次风量1_141,0.9614388504068689,0.9614388504068689,0.030598052851182198
A侧二次风量3_143,0.9612910128307322,0.9612910128307322,0.030598052851182198
至高压缸的主蒸汽压力248,0.9500825224090707,0.9500825224090707,0.031988873435326845
至高压缸的主蒸汽压力250,0.9500261806369472,0.9500261806369472,0.031988873435326845
至高压缸的主蒸汽压力_249,0.9498154946903667,0.9498154946903667,0.031988873435326845
主蒸汽压力#2_277,0.9441039688880797,0.9441039688880797,0.2614742698191933
主蒸汽压力#1276,0.9441039688880797,0.9441039688880797,0.2614742698191933
AGC控制指令_361,0.9301431567570285,0.9301431567570285,0.03477051460361613
A磨总一次风量149,0.8993462072925877,0.8993462072925877,0.0
